Document_ID,Title,Filename,Path,Category,Subcategory,Type,Phase,Status,Description,Keywords,Authors,Date_Created,Last_Modified,Size,Page_Count,Language,Technical_Level,Prerequisites,Reading_Time,Cross_References,Citation_Count,Impact_Level
CFH_01,CFH_01 - Participatory Framework Main,CFH_Participatory_Framework_Main.pdf,01_Core_Papers/CFH_Participatory_Framework_Main.pdf,CFH,Core Theory,PDF,Foundation,Complete,Core participatory framework for consciousness field hypothesis,"consciousness, field, hypothesis, participatory, framework",Research Team,2024-Q1,2024-Q2,1.2MB,45,English,Advanced,"basic physics, consciousness studies",90 minutes,"HQT_01, OBS_01, QCA_01, NEX_01",9,foundational
CFH_02,CFH_02 - Physics Participation Coherence,CFH_Physics_Participation_Coherence.pdf,01_Core_Papers/CFH_Physics_Participation_Coherence.pdf,CFH,Physics Integration,PDF,Foundation,Complete,Physics and coherence analysis within participatory framework,"physics, participation, coherence, consciousness, field dynamics",Research Team,2024-Q1,2024-Q2,980KB,38,English,Expert,"advanced physics, field theory, CFH_01",75 minutes,"QCA_02, HQT_02, CFH_05",6,theoretical
CFH_03,CFH_03 - Amplification Model Core,CFH_Amplification_Model_Core.pdf,01_Core_Papers/CFH_Amplification_Model_Core.pdf,CFH,Amplification Theory,PDF,Foundation,Complete,Field amplification models and mechanisms,"amplification, model, field, consciousness, quantum effects",Research Team,2024-Q1,2024-Q2,1.1MB,42,English,Expert,"CFH_01, CFH_02, quantum mechanics",85 minutes,"QCA_03, NEX_01, QCA_Complete",7,theoretical
CFH_04,CFH_04 - Foundational Paradoxes Analysis,CFH_Foundational_Paradoxes_Analysis.pdf,01_Core_Papers/CFH_Foundational_Paradoxes_Analysis.pdf,CFH,Paradox Resolution,PDF,Foundation,Complete,Analysis and resolution of foundational paradoxes,"paradox, analysis, foundational, consciousness, resolution",Research Team,2024-Q1,2024-Q2,875KB,34,English,Advanced,"CFH_01-03, logic, philosophy of science",70 minutes,"HQT_01, OBS_01, CFH_06",5,analytical
CFH_05,CFH_05 - Unified Field Theory Complete,CFH_Unified_Field_Theory_Complete.pdf,01_Core_Papers/CFH_Unified_Field_Theory_Complete.pdf,CFH,Unified Theory,PDF,Expansion,Complete,Complete unified field theory integrating consciousness with physics,"unified, field, theory, complete, consciousness, physics integration",Research Team,2024-Q2,2024-Q3,1.8MB,67,English,Expert,"CFH_01-04, advanced physics, field theory",135 minutes,"QCA_v2, QCA_v3, QCA_Complete, NEX_v2, HQT_02",12,integrative
CFH_06,CFH_06 - Ontological Manifesto Core,CFH_Ontological_Manifesto_Core.pdf,01_Core_Papers/CFH_Ontological_Manifesto_Core.pdf,CFH,Ontological Foundations,PDF,Expansion,Complete,Ontological foundations and philosophical framework,"ontological, manifesto, foundations, consciousness, being, existence",Research Team,2024-Q2,2024-Q3,1.3MB,51,English,Advanced,"CFH_01-05, philosophy, ontology",105 minutes,"HQT_01, OBS_01",4,philosophical
CFH_07,CFH_07 - Scale Consciousness Miniscule,CFH_Scale_Consciousness_Miniscule.pdf,01_Core_Papers/CFH_Scale_Consciousness_Miniscule.pdf,CFH,Scale Analysis,PDF,Application,Complete,Scale consciousness research and miniscule field effects,"scale, consciousness, miniscule, research, field effects",Research Team,2024-Q2,2024-Q3,765KB,29,English,Advanced,"CFH_01-05, scale analysis, field theory",60 minutes,QCA_Scalar,2,specialized
CFH_08,CFH_08 - Science Speaks Epistemological,CFH_Science_Speaks_Epistemological.pdf,01_Core_Papers/CFH_Science_Speaks_Epistemological.pdf,CFH,Epistemological Framework,PDF,Validation,Complete,Epistemological foundations and scientific methodology,"science, epistemological, foundations, consciousness, methodology",Research Team,2024-Q3,2024-Q3,920KB,36,English,Advanced,"CFH series, epistemology, philosophy of science",75 minutes,External_Crane_Molloy,3,methodological
CFH_09,CFH_09 - Silence Speaks Consciousness Vision,CFH_Silence_Speaks_Consciousness_Vision.pdf,01_Core_Papers/CFH_Silence_Speaks_Consciousness_Vision.pdf,CFH,Vision Framework,PDF,Implementation,Complete,Consciousness vision framework and future directions,"silence, consciousness, vision, framework, future directions",Research Team,2024-Q3,2024-Q3,1.1MB,44,English,Intermediate,"CFH series overview, strategic thinking",90 minutes,NEX_02,2,visionary
HQT_01,HQT_01 - Hyperchronal Ontology Inversion,HQT_Hyperchronal_Ontology_Inversion.pdf,01_Core_Papers/HQT_Hyperchronal_Ontology_Inversion.pdf,HQT,Hyperchronal Theory,PDF,Expansion,Complete,Hyperchronal ontology and time inversion principles,"hyperchronal, ontology, time, inversion, quantum, consciousness",Research Team,2024-Q2,2024-Q3,1.4MB,56,English,Expert,"CFH_04-06, quantum mechanics, time theory",115 minutes,"HQT_02, QCA_Complete",5,specialized
